year,Price,kms_driven,fuel_type,Brand,Model
2014,415000.0,32000.0,Petrol,Hyundai,Elite i20 Magna 1.2
2011,155000.0,45863.0,Diesel,Skoda,Fabia 1.2L Diesel Elegance
2011,600000.0,60500.0,Petrol,BMW,3 Series 320i
2011,189500.0,12500.0,Petrol,Maruti,Suzuki A Star Lxi
2013,350000.0,60000.0,Diesel,Toyota,Etios GD
2012,210000.0,35000.0,Diesel,Ford,Figo Diesel EXI Option
2014,390000.0,35000.0,Petrol,Maruti,Suzuki Swift Dzire VXi 1.2 BS IV
2012,135000.0,45000.0,Diesel,Chevrolet,Beat LT Diesel
2009,1600000.0,35000.0,Petrol,BMW,7 Series 740Li Sedan
2013,701000.0,38000.0,Diesel,Mahindra,XUV500 W8 AWD 2013
2014,265000.0,18000.0,Petrol,Hyundai,i10 Magna 1.2
2015,525000.0,35000.0,Diesel,Hyundai,Verna Fluidic New
2013,372000.0,13349.0,Petrol,Maruti,Suzuki Swift VXi 1.2 BS IV
2016,635000.0,29000.0,Petrol,Maruti,Suzuki Ertiga ZXI Plus
2014,550000.0,44000.0,Diesel,Ford,EcoSport Titanium 1.5L TDCi
2016,575000.0,29000.0,Petrol,Maruti,Suzuki Ertiga Vxi
2013,485000.0,42000.0,Diesel,Maruti,Suzuki Ertiga VDi
2012,155000.0,14000.0,Petrol,Maruti,Suzuki Alto LXi BS III
2014,345000.0,49000.0,Diesel,Hyundai,Grand i10 Asta 1.1 CRDi
2014,325000.0,42000.0,Petrol,Honda,Amaze 1.2 S i VTEC
2012,329500.0,36200.0,Diesel,Hyundai,i20 Asta 1.4 CRDI 6 Speed
2014,195000.0,50000.0,Diesel,Ford,Figo Diesel EXI
2015,251111.0,55000.0,Petrol,Maruti,Suzuki Eeco 5 STR WITH AC HTR
2014,569999.0,45000.0,Petrol,Maruti,Suzuki Ertiga ZXi
2007,69999.0,51000.0,Petrol,Maruti,Suzuki Esteem LXi BS III
